Substances,Regulation,Related Information
ID011455,2,"Yes (Prohibited nitrosamine under Annex II, part 3: prohibited for use in toys intended for use by children under 36 months or in other toys intended to be placed in the mouth if the migration of the substance is equal to or higher than 0.05 mg/kg)"
ID011456,2,"Yes (Prohibited nitrosamine under Annex II, part 3: prohibited for use in toys intended for use by children under 36 months or in other toys intended to be placed in the mouth if the migration of the substance is equal to or higher than 0.05 mg/kg)"
ID011457,2,"Yes (Prohibited nitrosamine under Annex II, part 3: prohibited for use in toys intended for use by children under 36 months or in other toys intended to be placed in the mouth if the migration of the substance is equal to or higher than 0.05 mg/kg)"
ID011458,2,"Yes (Prohibited nitrosamine under Annex II, part 3: prohibited for use in toys intended for use by children under 36 months or in other toys intended to be placed in the mouth if the migration of the substance is equal to or higher than 0.05 mg/kg)"
ID011459,2,"Yes (Prohibited nitrosamine under Annex II, part 3: prohibited for use in toys intended for use by children under 36 months or in other toys intended to be placed in the mouth if the migration of the substance is equal to or higher than 0.05 mg/kg)"
ID011460,2,"Yes (Prohibited nitrosamine under Annex II, part 3: prohibited for use in toys intended for use by children under 36 months or in other toys intended to be placed in the mouth if the migration of the substance is equal to or higher than 0.05 mg/kg)"
ID013332,2,"Yes (Prohibited nitrosamine under Annex II, part 3: prohibited for use in toys intended for use by children under 36 months or in other toys intended to be placed in the mouth if the migration of the substance is equal to or higher than 0.05 mg/kg)"
ID013337,2,"Yes (Prohibited nitrosamine under Annex II, part 3: prohibited for use in toys intended for use by children under 36 months or in other toys intended to be placed in the mouth if the migration of the substance is equal to or higher than 0.05 mg/kg)"
ID013552,2,"Yes (Prohibited nitrosamine under Annex II, part 3: prohibited for use in toys intended for use by children under 36 months or in other toys intended to be placed in the mouth if the migration of the substance is equal to or higher than 0.05 mg/kg)"
ID013721,2,"Yes (Prohibited nitrosamine under Annex II, part 3: prohibited for use in toys intended for use by children under 36 months or in other toys intended to be placed in the mouth if the migration of the substance is equal to or higher than 0.05 mg/kg)"
ID013735,2,"Yes (Prohibited nitrosamine under Annex II, part 3: prohibited for use in toys intended for use by children under 36 months or in other toys intended to be placed in the mouth if the migration of the substance is equal to or higher than 0.05 mg/kg)"
ID020985,2,"Yes (Prohibited nitrosamine under Annex II, part 3: prohibited for use in toys intended for use by children under 36 months or in other toys intended to be placed in the mouth if the migration of the substance is equal to or higher than 0.05 mg/kg)"
ID023404,2,"Yes (Prohibited nitrosamine under Annex II, part 3: prohibited for use in toys intended for use by children under 36 months or in other toys intended to be placed in the mouth if the migration of the substance is equal to or higher than 0.05 mg/kg)"
